gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,chrom,start,end,up_down
C2orf49,5256.72249695097,0.121761672856326,0.0331996165700832,3.66756262378187,0.0002448735883008,0.0011996859577125,chr2,105345369,105345371,up
SMA5,22327.7854615839,0.14816614311323,0.0152254438197434,9.73148269878984,2.21342797868687e-22,5.6315753881749805e-21,chr5_KI270897v1_alt,819587,819690,up
ZNF14,2641.27846824299,0.12352384677084,0.0488876048098096,2.52669050266203,0.0115142922682747,0.0362370195985316,chr19,19711352,19711354,up
KIF21A,10785.1070826447,0.447700254631821,0.0219538716578789,20.3927699682597,1.9385358076175897e-92,2.52773885452905e-90,chr12,39294424,39294426,up
ZNF136,2432.24447564242,0.169638798018468,0.0510177794513917,3.32509175904245,0.0008838943963863,0.0038246623833425,chr19,12187999,12188001,up
UAP1L1,2098.66594823154,-0.198196722661575,0.0553463868738767,-3.58102369199322,0.0003422506141862,0.0016239540164381,chr9,137082727,137082729,down
TCHP,2245.91950376643,0.133836457677161,0.0545339935805148,2.45418405823448,0.0141204685942054,0.0430987338748638,chr12,109916621,109916623,up
TNFAIP8,1548.0770517535,-0.934643837903863,0.0704732866943666,-13.2623846814083,3.8253506043366195e-40,1.75255336302057e-38,chr5,119393379,119393381,down
OSGEPL1,1610.28396888318,0.18947205666171,0.0657768013386741,2.8805301079654,0.0039700703198784,0.0145077131791625,chr2,189750578,189750580,up
CRAMP1,4480.16169417373,-0.142426840585611,0.0385708364126492,-3.69260440872634,0.0002219691635581,0.0010953871277336,chr16,1674043,1674045,down
NISCH,7752.42833089047,-0.0966169117857718,0.0274067209545471,-3.5252999417919,0.0004230035467868,0.0019699007891404,chr3,52480517,52480519,down
WWP1,12348.5043950569,-0.151595286926966,0.0211524812367673,-7.16678507973156,7.677942236475599e-13,1.0789696856875199e-11,chr8,86466891,86466893,down
PSMA3,8590.08662165355,-0.127874040617378,0.0254816218352027,-5.01828499945483,5.21347958576756e-07,3.94751516820736e-06,chr14,58271893,58271895,down
SOX12,3165.48189887762,-0.139687402099698,0.0448742000981321,-3.11286667604605,0.00185279696389,0.0074270705371898,chr20,326870,326872,down
PCM1,54518.5170180023,0.0631375270538397,0.0097383435358377,6.48339492455666,8.968134312977449e-11,1.06030400539047e-09,chr8,18027660,18027662,up
SYS1,6477.99213945686,0.0909474412995604,0.0294225252691876,3.09108210350673,0.001994284819833,0.007940251450897,chr20,45367113,45367115,up
GOLGA2P7,2061.27483143784,-0.222586531724385,0.0565743363864471,-3.93440817765752,8.34019448576062e-05,0.00044633534894,chr15,84229852,84230168,down
TRIM38,6097.21455639425,0.181465606458891,0.0304964670887668,5.95038126648225,2.67518580224875e-09,2.66164304213465e-08,chr6,25983685,25983687,up
ST8SIA4,2202.19062933384,0.196645571413168,0.0545529090309911,3.604676174124,0.0003125423805873,0.0014960773819783,chr5,100811847,100811849,up
CALR,288840.660848295,0.105833627027673,0.006491284400201,16.3039578152508,9.25032698551316e-60,6.74428409949161e-58,chr19,12943911,12943913,up
PALLD,3282.66471891148,-0.122827083906681,0.0452432191944073,-2.71481751506011,0.0066312299100187,0.0225265803631673,chr4,168926383,168926385,down
C10orf12,10571.5054323912,-0.0999387004366706,0.0225848885348917,-4.42502517921548,9.64310351079667e-06,6.12793470993035e-05,chr10,96985132,96985134,down
BAZ2A,10300.8677205018,-0.175703144785791,0.0236498819247358,-7.42934553943884,1.09136306332908e-13,1.66105213263811e-12,chr12,56598618,56598620,down
NUB1,10689.6542424023,0.0901093134194168,0.0219641959267198,4.10255461752631,4.08613355771525e-05,0.0002319466604276,chr7,151377223,151377225,up
YIPF5,8310.54632710713,0.0817165378676011,0.0259743361980618,3.14604913267038,0.0016549220201578,0.0067112432761244,chr5,144160397,144160399,up
ZNF614,6157.73166620785,0.0920617851159695,0.0308093151009277,2.98811527664233,0.0028070365713558,0.0107198600236995,chr19,52015840,52015842,up
PTEN,21763.6725039367,0.10004446895613,0.0149577551883101,6.68846813553396,2.2551873636140398e-11,2.81607696482228e-10,chr10,87965470,87965472,up
RPLP0,233378.080605339,-0.0594926283412695,0.0071653403157679,-8.3028336016855,1.01657207039792e-16,1.9183987249301002e-15,chr12,120196773,120196775,down
ARMT1,6232.57526822209,-0.122993994933109,0.0309898367655317,-3.96884939613196,7.22205059324907e-05,0.0003915962738706,chr6,151469108,151469110,down
DSE,973.322419873268,0.247556784995132,0.084804391455679,2.91915053861935,0.0035098668213804,0.0130332157625248,chr6,116437343,116437345,up
DNAJC1,6287.08487812254,0.106736065036069,0.0298570936064431,3.5748980273497,0.000350364425299,0.001659550112288,chr10,21756687,21756689,up
TSR2,3600.36294846123,0.257199445189423,0.0445169592993902,5.77756093940914,7.57912749493042e-09,7.20256117440445e-08,chrX,54444548,54444550,up
DICER1,26908.0304235564,-0.0830262984513908,0.0136954816161464,-6.06231316126233,1.3417763566733701e-09,1.38056367017053e-08,chr14,95090614,95090616,down
PCMTD1,17101.4257257201,0.0856126329630989,0.0172553179259121,4.96152162079469,6.99430830683902e-07,5.23165002476801e-06,chr8,51820351,51820353,up
SLC9A3R2,1194.78710991363,-0.204310176476083,0.0768063074766648,-2.66007028834391,0.0078124345935692,0.0259349878882233,chr16,2037982,2037984,down
PPP2R1A,18350.3378582119,-0.0840447260461916,0.0172868126294664,-4.86178266911577,1.16333307323806e-06,8.52754584117908e-06,chr19,52225979,52225981,down
COPS2,14343.2653480287,0.0552030278831541,0.01922539393718,2.87136003889091,0.0040870972626438,0.0148712438901831,chr15,49127950,49127952,up
BCL2L1,9892.83988311965,-0.0838825407805142,0.0231109630541524,-3.62955626660667,0.0002839088431066,0.0013730698364369,chr20,31665949,31665951,down
C1orf116,17957.7833363783,-1.27106486802823,0.0177987262991789,-71.4132487158287,0.0,0.0,chr1,207021958,207021960,down
SLC43A1,1862.80769977003,-0.383280693562659,0.0591143288251008,-6.48371894226619,8.94888582540922e-11,1.0589514893400902e-09,chr11,57485096,57485098,down
ZNF708,3342.40263116218,0.151251940624036,0.0433069148802834,3.49255866048535,0.0004784165025669,0.0021992563360376,chr19,21293274,21293276,up
TRPM8,390.910302440628,-1.68488145039274,0.141760323529003,-11.8854232866365,1.4091936893739901e-32,5.338009950167799e-31,chr2,234014610,234014612,down
USP22,121448.59636679,-0.0302420103085182,0.0073040576793992,-4.14043968927222,3.46640741530507e-05,0.0001991862328769,chr17,21003031,21003033,down
MAPK7,324.873415098467,-0.375930767995275,0.150804737178048,-2.49283129316708,0.012672904442604,0.0392726821631976,chr17,19383229,19383231,down
ARPC5L,2348.05872240705,0.126947826519026,0.0522625233438758,2.42904127846521,0.0151388086261455,0.0456520755568511,chr9,124876938,124876940,up
PRH1,268.231988177015,-0.724087059033876,0.181707704511052,-3.9849001503942,6.75085065391531e-05,0.0003676823081917,chr12_KI270904v1_alt,80941,80943,down
PROSER1,2580.03047528279,0.149488920967386,0.0503930270644242,2.96646043462073,0.0030124911883629,0.0114112829623995,chr13,39011365,39011367,up
SCAPER,3924.83425250331,0.101370475050781,0.0390806179153931,2.59388107092475,0.0094899307547152,0.0306484760573217,chr15,76348633,76348635,up
NOP10,2974.68761367936,-0.169438778131777,0.0461984038708562,-3.66763273046033,0.0002448064774577,0.0011996859577125,chr15,34341968,34341970,down
ATP5F1,11793.2929392151,-0.0705792836554906,0.020914333332451,-3.37468484094487,0.0007390026897829,0.0032537712584892,chr1,111460992,111460994,down
RNF138P1,2228.37595095508,-1.115772878819,0.055909107266481,-19.956907440873,1.30545151382751e-88,1.59488540351485e-86,chr5,55528842,55534542,down
LRP6,20920.0768951094,0.118627478134782,0.0155523476743226,7.62762514180668,2.39117652446361e-14,3.77934089140455e-13,chr12,12121126,12121128,up
FAM162A,12180.2039313648,0.0615128871845242,0.0204547902118658,3.00726072217748,0.0026361356335991,0.0101558623088744,chr3,122409829,122409831,up
SLC2A12,15032.471239598,-0.806850939407034,0.019215947564619,-41.9886105899161,0.0,0.0,chr6,133991155,133991157,down
RNU6-14P,906.582402609002,0.228243725010113,0.0860252373427647,2.65321819573346,0.0079728313636995,0.0264028244500926,chr9,15776181,15776286,up
PPIP5K2,9099.31241637055,0.0685899201402106,0.0249431234677926,2.74985288946575,0.0059622025290437,0.0205368119116999,chr5,103201632,103201634,up
ADAMTS1,65295.8475185755,-0.125440184864701,0.0089009667762999,-14.092871933721,4.20122382560962e-45,2.2430234763422097e-43,chr21,26837579,26837581,down
MGRN1,2676.14921321265,-0.150221295313068,0.0496616820812311,-3.02489341918288,0.0024872075800146,0.0096478895859779,chr16,4688906,4688908,down
