transcript_id,LNCaP_DHT_RNA_rep1,LNCaP_DHT_RNA_rep2,LNCaP_Veh_RNA_rep1,LNCaP_Veh_RNA_rep2
NR_034149,0,0,0,0
NM_016410,11399,11337,10880,10975
NR_034144,0,0,0,0
NR_034145,3,0,0,0
NR_034146,50,58,33,24
NR_034147,0,0,0,0
NR_034140,43,45,27,30
NR_034141,0,0,0,0
NR_034142,0,0,0,0
NR_034143,0,0,0,6
NR_038870,0,0,0,0
NR_038871,0,9,0,0
NR_038872,0,0,0,4
NR_038873,35,39,30,21
NR_038874,2,0,3,2
NM_001308036,6338,6144,6606,6438
NR_038876,42,58,61,51
NR_038877,187,172,143,148
NR_038878,2,12,6,0
NR_038879,875,825,373,680
NM_007009,0,0,0,0
NM_001199758,26,28,55,45
NM_032889,1280,1578,1319,1332
NM_001199752,265,6,2,9
NM_001199753,25,9,122,8
NM_032880,0,0,0,0
NM_032881,787,674,643,677
NM_001199756,21,208,9,16
NM_001199757,15,26,8,2
NM_032884,0,0,0,0
NM_032885,722,634,421,389
NR_104328,0,0,0,0
NR_104329,0,0,0,0
NM_003039,4,0,0,6
NM_001302959,39,46,36,42
NM_006049,2299,2083,2097,2269
NM_006048,27282,26649,24013,24511
NR_030641,1,2,4,3
NR_030640,2,1,2,1
NR_104320,2216,1623,809,768
NR_104321,163,177,295,158
NM_003031,8085,5086,7960,5902
NR_104323,3484,4290,5144,6398
NM_006041,42,51,49,44
NM_001160331,0,0,0,4
NM_003035,2717,2196,3617,1876
NR_104327,0,0,0,0
NM_001017528,180,219,128,128
NM_001017529,0,0,0,0
NR_029829,0,0,0,0
NM_001017520,0,0,0,0
NM_001128920,11424,9580,8929,8605
NM_001128923,1381,1270,1704,1369
NM_001017523,0,0,0,0
NM_001128925,0,0,0,0
NM_001128924,4774,4223,4679,4291
NM_001017526,1373,1421,922,1358
NM_001128926,0,0,0,0
NM_001257209,0,0,0,0
NM_001257208,0,0,0,0
NM_001079827,0,0,0,0
NM_001123040,431,450,386,357
NM_001079821,0,0,0,0
NM_001257206,0,0,0,0
NM_001257205,0,0,0,0
NR_047647,0,0,0,0
NM_015454,7075,6669,5883,5207
NM_001293695,959,862,574,899
NM_001293696,514,553,202,237
NM_001293697,158,190,165,478
NM_001037808,12539,15404,2955,3181
NM_001037804,0,0,0,0
NM_001037806,1245,1173,1053,1025
NM_001293698,112,127,97,100
NM_001289938,11,29,15,19
NM_001159296,0,0,0,52
NR_110738_42,0,0,0,0
NR_110738_43,0,0,0,0
NR_110738_40,0,0,0,0
NM_020882,0,0,0,1
NR_110738_46,0,0,0,0
NR_110738_47,0,0,0,0
NR_110738_44,0,0,0,0
NR_110738_45,0,0,0,0
NR_110738_48,0,0,0,0
NR_110738_49,0,0,0,0
NM_001098507,14061,12377,11331,5149
NM_001098506,0,0,0,0
NM_001098504,76714,77622,79633,81795
NM_001098503,100,135,46,73
NM_001098502,2368,2341,2423,2344
NM_001098500,0,0,0,2620
NM_013385,0,0,0,0
NM_013386,8557,8229,7503,7924
NM_001306094,33,20,16,17
NM_001306093,10403,10222,9459,9616
NM_013381,21,17,18,12
NM_001306091,8339,167,8515,208
NM_001306090,4782,4303,4039,4202
NM_001289933,1,1,1,1
NR_046112_2,2,0,0,1
NR_027423,588,574,582,537
NM_001113398,0,0,0,0
NR_027421,117,102,109,83
NR_027420,4428,4272,4104,4195
NR_027427,2875,2051,2089,2658
NR_027426,104,100,124,100
NR_027425,353,346,289,330
NR_027424,192,200,180,181
NM_001304961_2,109,100,86,107
NR_027429,344,245,280,271
NR_027428,222,295,194,249
NM_001252499,1336,2136,2236,2110
NM_002348,0,0,0,0
NM_002349,0,3,3,0
NM_001289934,102,182,456,384
NM_001166279,6663,5967,4489,7050
NM_001166278,19672,19301,14888,12639
NM_002342,3476,3103,3291,3143
NM_001166276,0,0,0,0
NM_002340,1858,1566,726,1494
NM_002341,0,0,0,0
NM_002346,180,190,133,257
NM_002347,0,0,0,0
NM_001166271,15642,15409,11261,11733
NM_002345,284,283,234,259
NM_020385,9987,9861,9441,9513
NR_104667,0,0,0,0
NM_001276367,11,14,4,10
NM_005014,25,40,34,39
NM_001256550,20728,23667,21896,18509
NM_001256552,136,76,50,52
NM_015450,3937,2083,2346,1273
NM_018717,9812,9413,8835,9401
NM_018714,4648,4710,3830,4039
NM_018715,20266,19688,18910,19552
NM_018712,0,0,0,3
NM_018713,1126,1159,1527,1528
NM_018710,828,745,670,674
NM_018711,9,3,3,11
NM_001177428,0,0,0,0
NM_018718,1925,3322,2487,2959
NM_018719,5128,6842,5313,8909
NR_047646,193,199,233,143
NM_001282449,0,9,0,0
NM_001282448,25,15,0,28
NM_001282442,0,0,0,0
NM_001282441,105,109,319,229
NM_001282440,86,171,69,125
NM_001282447,0,0,0,0
NM_001282446,28,46,28,23
NM_001282445,0,0,0,0
NM_001282444,50,62,51,43
NM_001242490,0,0,98,38
NM_001242491,31,27,20,31
NM_001163735,2552,2341,2044,2327
NM_181876,26,8,5,0
NM_001287188,1603,670,680,668
NM_001184718,4,3,1,0
NM_001006120_2,0,0,0,0
NM_213605,399,375,325,366
NM_001164586,22,12,0,0
NM_001308375,158,57,38,172
NM_014815,8299,5820,6693,6836
NM_014814,16977,21393,19355,18215
NM_001030055,41440,39534,34633,38649
NM_014811,9330,8988,8052,8343
NM_014810,24472,24422,23213,23940
NM_014813,10578,10445,8263,9451
NM_014812,9762,10047,8976,9140
NM_001005474,0,588,151,49
NM_001005476,3363,5309,5064,2318
NM_014819,43422,42109,39885,41206
NM_014818,2037,1992,1701,1785
NM_001030059,35,0,14,16
NM_001172288,3,6,3,3
NM_001172285,0,0,0,0
NM_001099294,0,8,8,0
NM_012419,413,410,481,489
NM_012418,574,489,379,383
NM_001099293,71,88,56,64
NM_012413,4,0,0,0
NM_012412,3937,3707,4106,3299
NM_012411,0,0,0,0
NM_012410,1804,1964,1982,1628
NM_012417,79,78,102,90
NM_145808,68035,66580,69101,70496
NM_012415,2815,2792,2504,2550
NM_012414,35447,34975,36277,36857
NM_001171747,0,0,0,0
NM_001171743,11,0,4,0
NR_036179,2,2,0,2
NR_036178,8,8,12,10
NR_036177,0,0,0,0
NR_036176,0,0,0,1
NR_036175,0,0,0,0
NR_036174,0,0,0,0
NR_036173,0,0,0,0
NM_018064,549,503,461,424
NR_036171,2,1,0,1
NR_036170,1,0,1,1
NM_020420_3,0,0,0,0
NR_015436,0,0,1,0
NR_107008,5,3,2,1
NR_107009,0,0,0,0
NM_001258330,3040,1734,2656,2893
NM_001258331,0,0,0,0
NM_001172131,0,0,0,0
NM_001172130,0,0,0,0
NM_001258334,0,0,0,0
NM_001172132,0,0,0,0
NR_107000,0,1,0,1
NR_107001,0,0,0,0
NM_001258338,3714,3679,5065,4493
NR_107003,1,2,1,1
NR_107004,0,0,0,0
NR_107005,23,22,22,25
NR_107006,0,0,0,0
NR_107007,0,0,0,0
NR_027294,470,438,450,415
NM_001068,51786,51194,47702,49211
NM_001069,809,845,726,349
NM_001201538,0,0,0,0
NR_027295,368,331,324,293
NM_001201536,2658,2406,2477,2310
NM_001063,0,0,0,0
NM_001060,5,5,7,11
NM_001061,1,2,1,1
NM_001066,11,16,17,11
NM_001067,29332,29255,29148,30285
NM_001064,12181,12814,10723,11449
NM_001065,3076,3209,2723,2766
NM_006737_8,0,0,0,0
NM_015204,100,101,48,73
NM_001308379,0,2,0,0
NM_001173425,0,0,262,269
NM_001204884,0,24,0,0
NR_027291,7,10,12,11
NM_001164824,129,100,111,4545
NM_001164825,537,653,623,1177
NM_001164821,0,673,795,791
NM_006732,37,54,61,41
NM_006874,2633,2226,2361,2524
NM_006875,1358,1410,1444,1637
NM_006876,3027,2986,3216,3299
NM_006877,143,109,99,88
NM_006870,23767,22909,20791,22178
NM_001164829,3,3,0,11
NM_006872,0,0,0,0
NM_006873,441,433,538,386
NM_001037582,4153,4005,3669,3447
NM_001142548,96,0,260,0
NM_006737,0,0,0,0
NM_001142541,944,200,669,253
NM_001142547,318,476,330,401
NM_001142546,5245,5185,4796,5214
NM_001142545,411,0,405,397
NM_001142544,0,0,0,0
NM_004582,15395,15833,13737,14238
NM_004583,10758,10778,9650,9973
NM_004580,10,98,29,18
NM_020150,35664,34789,32656,34316
NM_020157,0,0,0,0
NM_004587,10136,8532,8430,9213
NM_004584,304,250,178,241
NM_004585,156,167,138,154
NM_004588,2,4,0,0
NM_004589,10897,10579,10332,10586
NM_005110,342,327,321,263
NR_027299,0,88,146,0
NR_024063,73,109,98,96
NM_138627,59,9,212,182
NR_130714,0,0,0,0
NR_130715,0,0,0,0
NM_006739,5305,5469,4444,4528
NM_000206,0,0,8,0
NM_138624,0,0,0,35
NM_138622,233,1068,848,586
NR_030755,0,0,0,0
NM_001001888,136,101,76,125
NM_001287764,0,0,0,0
NM_001287761,0,0,0,0
NM_001287760,0,0,0,0
NM_001287763,124,0,0,0
NM_001287762,0,0,0,0
NM_001017927,1816,1946,1971,2056
NM_001003954,0,0,0,0
NM_001198726,205,42,636,0
NM_001332,14,0,15,0
NM_004125,231,146,100,250
NM_194283,4528,5314,426,290
NM_194282,3742,3755,3784,5145
NM_194281,236,391,287,296
NM_194280,1713,1444,1505,1218
NM_194287,0,0,0,0
NM_194286,10,11,9,3
NM_194285,15840,16051,16296,16194
NM_194284,604,599,523,582
NM_004127,5463,5639,4791,4907
NR_027996_2,2,1,1,0
NM_001336,6647,6461,6877,6781
NM_001337,0,0,0,0
NM_001184866,4,3,0,0
NM_001184867,0,0,0,0
NM_001287499,66,67,138,55
NM_001287498,7561,7124,8835,6814
NM_001334,2036,2066,1816,1834
NM_001287493,1408,1296,1651,1310
NM_001287492,11044,11166,10369,11463
NM_001287491,9081,9055,8179,8576
NM_001287490,198,216,122,164
NM_001287497,745,733,671,656
NM_001287496,422,454,380,585
NM_001287495,0,0,56,108
NM_001287494,2024,2198,2331,1722
NM_007055,19885,18635,17063,17638
NM_007054,5914,5660,4813,4138
NM_007057,3627,2986,2297,3525
NM_007056,956,0,0,0
NM_001285402,0,0,0,0
NM_001308230,9,248,2546,2746
NM_001285400,0,0,0,0
NM_001285401,0,0,0,0
NM_152665,0,0,0,0
NM_007059,29,47,6,35
NM_007058,0,10,12,0
NM_001042452,0,0,0,0
NM_000500_4,0,0,0,0
NM_024713,3713,3740,3565,3689
NR_047021,0,0,0,0
NM_001042453,318,289,342,251
NM_001276435,0,0,0,0
NM_001243288,19,18,0,20
NM_001243286,0,0,0,0
NM_001243283,142,109,79,85
NM_001243280,11910,11547,10200,11843
NM_001243281,295,252,299,206
NM_001145668,4,2,8,6
NR_024873,129,187,239,132
NR_024872,319,259,223,347
NR_028140,39,35,38,51
NM_001145661,1801,71,4611,2683
NM_001145667,65693,65314,66298,67574
NM_001145666,7225,6525,4043,4283
NM_001145665,1716,3013,2529,2940
NM_001145664,2,0,0,0
NM_030632,0,0,0,0
NM_015629_10,1030,994,897,892
NM_001128635_2,0,363,0,292
NR_128716_6,356,353,228,245
NM_001276437,0,0,0,0
NR_104084_8,179,196,161,221
NR_104084_9,4429,4297,1293,4469
NM_001756_2,0,0,0,0
NR_104084_2,4961,4760,4824,5071
NR_104084_3,625,588,605,611
NR_104084_6,412,446,479,465
NR_104084_7,4,6,4,5
NR_104084_4,1,1,1,2
NR_104084_5,4741,4659,4578,4743
NM_001286177,0,1157,1207,852
NM_001286176,0,2176,2287,1470
NM_001286175,82,18,7,4
NM_001286174,391,2117,2090,1470
NM_001286173,128,8,1247,826
NM_001130703,0,0,0,0
NM_001276436,0,0,0,0
NM_000500_3,0,0,0,0
NM_001203260,97,0,0,52
NM_001203261,0,248,514,379
NM_001203262,0,4,0,0
NM_001203263,289,1237,380,252
NM_001203264,308,0,421,655
NM_001203265,284,0,633,456
NM_014789_2,8,22,4,6
NR_033312,106,78,164,164
NM_152326,661,656,539,544
NM_152327,1217,1172,1072,1106
NM_152324,0,0,0,0
NR_110465,31,0,0,0
NR_110462,0,10,0,0
NM_152323,32,34,44,60
NM_152320,97,1973,1380,62
NM_152321,7,14,4,11
NM_001185054,0,0,0,0
NM_001185055,0,0,0,0
NM_152328,1822,1898,1596,1618
NM_001185057,616,71,628,415
NM_001167583,5,23,52,2
NM_033059,0,0,0,0
NM_001297715,148,529,70,199
NM_001276379,114,107,224,85
NR_033319,0,0,0,0
NR_046245_2,0,0,0,0
NM_001204287,0,0,0,0
NM_001204286,0,0,0,0
NM_001204285,0,0,0,0
NM_001204284,2616,2328,763,685
NM_022146,0,0,0,0
NM_022147,0,0,0,0
NM_022144,0,0,0,0
NM_022145,396,403,1037,483
NM_022148,0,0,0,0
NM_022149,16142,15729,15755,16201
NM_001204289,0,0,0,0
NM_001204288,0,0,0,0
NR_027749,9,2,0,25
NM_014598_2,5956,5925,5605,5625
NM_001004465,0,0,0,0
NM_001004464,0,0,0,0
NM_001004467,0,0,0,0
NM_001004466,0,0,0,0
NM_001004461,0,0,0,0
NM_001004460,7,14,9,9
NM_001004463,0,0,0,0
NM_001004462,0,0,0,0
NM_001004469,2,0,0,0
NM_001122898,668,609,732,667
NM_001301849,682,768,922,174
NM_001178044_3,50,64,0,62
NR_045962,61404,59521,56212,46988
NM_001001437_5,0,0,0,0
NM_001164501,41,79,24,35
NM_004456,555,753,435,899
NR_104662,0,0,0,0
NM_001242908,0,0,0,0
NM_001242909,0,0,0,0
NM_001242906,10,25,0,16
NM_001242907,5,13,6,13
NM_001242904,234,138,81,167
NM_001242902,372,413,391,304
NM_001242903,94,326,365,124
NM_001242900,3,6,5,23
NM_001242901,109,99,76,65
NM_001207023,0,0,0,0
NM_001207020,6,0,5,0
NM_001207026,0,0,0,0
NM_001207024,1944,3471,502,564
NM_001207025,7,4,6,13
NR_125378,127,142,145,165
NR_125379,537,511,711,592
NR_125376,3641,3467,3886,4118
NR_125377,347,265,195,251
NR_125374,779,778,838,746
NR_125375,519,516,447,505
NR_125372,167,94,223,180
NR_125373,5,8,16,7
NR_125370,45,0,2,0
NR_125371,1167,1132,6,587
NM_001130487,0,0,0,0
NM_001130483,291,331,290,266
NM_001130482,200,386,276,186
NM_001130481,0,0,0,0
NM_001130480,293,309,305,284
NM_031449,1462,1347,1272,1172
NM_134263,624,434,833,565
NM_134262,109,159,661,96
NM_134261,417,644,561,454
NM_199131,1,3,1,0
NM_199136,544,422,482,472
NM_134266,0,0,0,16
NM_134265,281,627,561,325
NR_026663,0,0,0,0
NM_004159_7,11,10,3,19
NM_004159_6,19,18,2,19
NM_199138,0,0,0,0
NM_134268,11,16,0,5
NM_004159_3,11,3,2,19
NM_004159_2,12,18,3,20
NM_001080745,0,0,0,0
NM_017678,0,0,0,0
NM_017679,2800,3209,2304,2946
NR_049883,0,0,0,0
NR_049882,0,1,0,0
NR_049885,0,0,0,0
NR_049884,1,0,1,3
NR_049887,0,0,0,0
NR_049886,0,0,0,0
NM_017670,3409,3198,2736,3013
NR_049888,6,5,3,5
NM_017672,25192,25740,21659,19771
NM_017673,664,1455,2344,2589
NM_021727,2038,1863,1615,1673
NM_017675,0,0,0,0
NM_017676,3157,3027,3219,3260
NM_021724,107,136,95,96
NR_031648,0,0,0,0
NM_001001437_4,0,0,0,0
NM_001198618,320,624,92,1079
NR_033773_2,0,1,2,0
NM_001207074_2,0,0,0,0
NM_001135998,2994,3038,3232,2623
NM_001135999,80,30,164,169
NM_001135993,5420,5124,4844,4997
NM_001271082_2,36,34,25,31
NM_001135995,0,0,0,0
NR_024468,0,0,0,0
NR_024469,138,120,139,155
NM_003239,81,67,90,82
NM_003238,0,0,0,0
NR_024117_2,1029,1049,980,910
NM_017983,968,1016,875,909
NM_001104925,2753,2774,3172,3162
NR_024461,84,86,76,92
NR_024466,276,262,319,255
NR_024467,0,0,0,0
NR_024464,7,0,0,9
NR_106922_2,1,2,1,1
NM_001042400,4762,4452,4329,5205
NM_001042403,0,0,0,0
NM_001042402,429,501,414,465
NM_001042405,3305,3041,3044,2837
NM_001042404,3698,3186,2824,3294
NM_001042406,0,0,0,0
NR_046683,0,0,0,0
NR_046680,0,0,0,0
NR_046681,184,228,219,193
NR_046687,0,0,0,0
NR_046685,0,0,0,0
NM_001042550,1917,2255,3127,3059
NM_175743_2,11,25,85,25
NR_126481,0,2,0,0
NR_126480,10,8,3,4
NM_001135662,6190,4918,4622,4166
NM_001135663,2025,3499,1484,3264
NM_001135664,476,434,268,190
NR_126487,0,0,8,11
NM_006196,2657,2575,2290,2215
NM_001135669,975,192,311,690
NM_003583,680,587,207,0
NM_003582,628,742,1369,1347
NM_139176,0,0,0,0
NM_139177,2247,2192,2292,2011
NM_139170,262,241,189,275
NM_003586,2,0,0,0
NM_003585,44,37,26,34
NM_003584,1830,1849,1708,1759
NM_006193,0,0,0,0
NM_003589,0,2,0,0
NM_003588,14,0,18,20
NM_139178,6453,6349,6192,6253
NM_139179,2746,2827,2825,2937
NM_001277991,0,0,0,0
NM_001277990,0,0,0,0
NM_020458,0,0,0,0
NR_046533,0,0,0,0
NR_046535,0,0,0,0
NR_046536,0,0,0,0
NM_020452,4834,4683,4234,4455
NR_046539,0,0,0,0
NM_020451,2051,22,1656,1418
NM_020456,1863,2018,1409,1735
NM_020457,2156,2370,1798,1903
NM_020455,228493,227429,188216,205504
NR_031649,0,1,0,0
NM_173511,5339,5323,5110,5247
NR_047487,0,0,0,0
NR_047484,0,0,0,0
NR_047483,3,0,0,0
NR_047482,158,134,148,135
NR_047481,0,0,0,0
NR_047489,2,0,0,0
NR_047488,0,0,0,0
NR_003569,21,17,20,25
NM_176786_2,0,3,0,6
NR_003561,0,0,4,6
NR_003562,1123,983,0,0
NR_003563,533,568,462,477
NM_001278529,0,2290,1172,540
NM_002188,0,0,2,2
NM_002189,0,0,0,0
NM_002184,33039,33233,28882,29762
NM_002185,0,0,0,0
NM_002186,5,0,0,0
NM_002187,0,0,0,0
NM_001278525,9356,8879,8047,8665
NM_001278524,2048,2392,4044,3989
NM_002182,890,628,351,576
NM_001278526,396,517,340,216
NR_001588,12,6,7,26
NR_001589,0,0,0,0
NR_001580,0,0,0,0
NM_004787,8,11,21,11
NM_020426_2,0,0,0,0
NM_080703,383,637,697,716
NR_001587,373,348,305,292
NM_015166,4,3,4,7
NM_001001931,7,5,3,5
NR_003698,131,122,142,154
NR_003699,10123,10194,9886,10353
NR_003697,740,728,677,749
NR_003694,39,56,28,42
NR_003695,88,67,96,79
NR_003693,0,2,1,0
NR_003691,10,7,8,6
NR_120520,0,0,0,0
NM_001128077,0,0,0,0
NM_001242491_2,150,89,127,173
NM_003989,0,0,0,0
NM_001001937,2587,1324,2485,921
NM_032470_4,0,0,0,0
NM_201550,2,1,2,3
NM_001265598,343,129,179,272
NM_001265599,5,4,0,0
NR_120429,66,59,44,50
NR_131761,0,0,0,0
NR_131762,0,0,0,15
NM_032470_3,0,0,0,0
NM_001265592,0,3,0,3
NM_001265593,0,19,7,0
NM_001265590,678,623,577,1134
NM_001265591,33,65,24,37
NR_120421,9,6,11,5
NM_001265597,439,279,342,285
NM_001265594,0,5,0,0
NM_001265595,5,1,1,5
NR_110859,31,23,16,16
NM_032409,6683,6520,6169,6437
NR_110857,4389,4229,3772,4547
NM_032407,53,53,42,43
NM_032404,0,0,0,0
NM_032405,0,0,0,0
NM_032402,55,56,64,29
NR_110852,90,89,56,58
NR_110851,31,41,37,45
NR_110850,146,115,117,102
NM_001304958_2,0,0,0,0
NM_147157,36,44,55,84
NR_047040,0,0,0,0
NM_001334_2,2036,2065,1818,1834
NM_001282800,3,7,0,9
NR_033748,0,0,0,0
NM_018158,6763,6862,7234,7342
NM_018159,501,508,483,495
NM_001145348,18,9,16,399
NM_001145349,139,425,167,206
NM_018150,4275,4175,3598,3788
NM_001145345,2006,1558,2138,2299
NM_001145346,0,0,0,0
NM_001145347,1728,1577,1643,1625
NM_001145340,77,20,28,45
NM_018155,712,0,754,914
NM_018156,14627,23371,39564,12842
NM_018157,6086,6106,4495,4454
NM_003378,14,26,36,17
NM_001105078,0,2,1,0
NM_003379,4574,3737,3970,3888
NM_005560,4844,4873,3624,3655
NM_018661,0,0,0,0
NM_001134382,4288,3517,1989,3648
NM_001278340,0,0,0,0
NM_001190255,0,0,0,0
NM_005325,34,39,15,11
NM_005324,113353,110588,107466,107730
NR_002770,2,0,2,0
NR_002771,117,86,95,105
NR_002776,564,631,556,968
NM_001311311,3241,3098,2779,2702
NR_002774,2084,2118,1925,1904
NR_002775,593,549,539,555
NR_033746,0,0,0,0
NR_002778,10,10,8,11
NR_002779,4,5,9,7
NM_005329,0,2,0,0
NM_001258455,41,14,2073,137
NM_001112741,7,11,5,13
NM_001301738,43,29,21,0
NM_003371,4922,4845,4740,4717
NR_026906_2,128,134,23,50
NM_001302551,10,5,14,6
NR_024543,244,89,283,154
NM_012163,126,97,98,89
NM_012162,454,484,507,380
NM_012161,7997,12895,11185,7467
NM_012160,1764,1101,203,1051
NR_130968,417,303,302,264
NM_012164,20047,19650,16747,17861
NM_139321,29710,28513,25791,29485
NR_130967,0,294,559,0
NM_012168,1435,1385,1298,1331
NM_001128423_2,1892,1636,1528,1583
NR_130963,480,749,761,947
NM_139320,24,22,25,13
NR_024547,1918,1961,1836,1623
NM_001277303_2,0,0,2,0
NR_026906_3,96,24,22,23
NM_001144931_2,65,66,33,35
NR_024546,9174,7853,9723,10409
NM_206929,0,6,7,13
NM_170685,35,40,35,2
NM_206925,0,0,0,0
NM_206926,813,2647,438,743
NM_170686,8695,8660,8417,8848
NM_170681,100,83,65,84
NM_206921,18,7,15,31
NM_170683,0,0,0,0
NM_170682,4,0,0,0
NM_001301302,6031,7014,6939,6718
NR_108040,0,0,0,0
NR_108043,12,7,8,10
NR_108042,0,0,5,0
NR_108045,0,0,3,0
NM_001258459,87,70,78,65
NR_108047,389,395,388,342
NR_108046,0,0,0,0
NR_108049,65,60,51,84
NR_108048,10,20,12,19
NM_006783,0,0,0,0
NM_004744,3,0,2,0
NR_102763,0,0,13,5
NM_004746,0,0,6,2
NM_004747,13864,13516,11889,12240
NM_001516,8105,8048,6721,7273
NM_004741,19208,18260,16979,18929
NM_001514,10292,10132,10104,10442
NM_080625,4,6,0,0
NM_001518,25189,23167,24255,41371
NM_001519,6463,6566,5698,6220
NM_004748,2300,9775,4642,6187
NM_004749,3296,3194,3259,2923
NR_132442,0,0,0,0
NM_001254729,548,532,600,449
NM_001908,9417,8462,17538,10136
NR_033732,11,9,9,12
NM_001008540,14,12,36,31
NM_001008541,76,137,136,97
NM_012264,2788,2807,2072,2302
NM_012265,1940,1967,1755,1676
NM_001278064,0,0,0,0
NM_001278065,72,69,61,72
NM_001278066,0,0,0,0
NM_001278067,0,0,0,0
NM_001907,95,85,59,92
NM_001278063,0,0,0,0
NM_001906,6,0,7,8
NM_004877,41,63,54,58
NM_012260,4964,4503,4720,4995
NM_001131018,129,232,0,0
NM_004874,6426,5207,5426,5745
NM_012261,0,0,0,0
NM_016260,1368,1112,321,439
NM_016261,1473,1733,233,1583
NM_016262,2850,2916,2736,3115
NM_016263,3147,3137,2642,2630
NM_016264,3040,3192,2799,3038
NM_001903,52378,51466,48234,49249
NM_016267,0,0,0,0
NR_102326_3,607,692,450,595
NM_016269,2,9,5,4
NM_001902,1871,1477,2173,2092
NR_102326_7,741,629,546,644
NR_102326_6,673,592,486,565
NR_102326_5,630,587,458,554
NR_106770,14,9,17,19
NM_001412,23350,23537,19207,20193
NM_004870,2326,2446,2530,2004
NM_001134389,3907,3784,3699,3171
NM_031854_3,0,0,0,0
NR_106772,0,0,0,0
NM_001290233,4,5,4,0
NM_001290232,0,0,0,0
NM_001290230,188,178,94,161
NM_014491,0,0,0,0
NM_201623,0,0,0,0
NM_001009615,0,0,0,0
NM_080389_2,0,0,0,0
NM_080389_3,0,0,0,0
NR_106778,0,0,0,0
NM_007217,131,146,123,124
NM_007216,4354,4245,2900,3319
NM_007215,1842,1743,1496,1613
NM_007214,15425,15393,13814,14025
NM_007213,1134,1076,1048,938
NM_007212,5158,4936,4073,4443
NM_007211,887,659,657,776
NM_007210,54,51,30,48
NM_001286271_2,1,7,4,1
NM_001304840,9,0,0,0
NM_007218,7834,7452,6780,6830
NR_109886,0,0,0,0
NR_109887,0,0,0,0
NR_109884,55,46,31,27
NR_109885,190,171,182,180
NR_109882,0,0,0,0
NR_109883,0,0,0,0
NM_001308358,203,108,357,283
NR_109881,0,0,0,0
NM_003910,4716,4665,4577,4624
NM_001308357,748,1417,1354,195
NM_001308355,635,0,0,1120
NM_003914,10,2,0,11
NM_001308353,726,435,181,224
NM_001308350,278,275,268,206
NM_003917,6149,6006,5418,5681
NM_001005499,0,0,0,0
NR_046948,8,5,0,5
NM_000178,16585,16155,16290,16547
NM_001198632,0,0,0,0
NR_046940,0,0,0,0
NM_001198630,0,0,0,0
NM_001198631,0,0,0,0
NR_046945,0,2,0,0
NR_046944,0,0,0,0
NR_046947,3,6,10,4
NR_046946,0,0,0,0
NM_024728,0,0,0,17
NM_024729,7287,9531,5291,8153
NR_031725,0,0,0,0
NR_031724,1,1,1,0
NR_031723,2,2,1,0
NR_031722,0,0,0,1
NR_031721,0,0,0,0
NR_031720,0,0,0,0
NM_024721,6813,6485,5798,6183
NM_024722,58,136,151,252
NM_001164665,1046,1583,2367,1710
NM_024725,483,532,441,489
NR_031729,4,3,4,3
NR_031728,0,0,2,0
NM_144664,4377,4337,4089,4234
NM_001310138_2,0,0,0,0
NM_001310138_3,2,4,3,2
NR_027381_4,0,0,0,57
NR_027381_5,57,0,0,45
NR_027381_6,55,0,0,44
NM_144665,248638,244624,236546,244797
NR_027381_8,56,0,0,45
NR_027381_9,0,0,0,43
NM_003471,0,595,0,0
NR_033423,0,3,3,6
NM_032313,13197,13138,11023,11495
NM_001079900_2,0,0,0,0
NM_006953,195,170,125,147
NM_006510_2,2152,2085,1929,2000
NM_006510_3,2197,2154,1985,2050
NM_006510_4,767,694,668,709
NM_006510_5,1533,1461,1336,1386
NM_006510_6,2153,2087,1933,2001
NM_006952,8,9,3,3
NM_001080779,21,0,10,0
NM_001512,4343,4232,3977,4190
NM_001080770,0,0,0,0
NM_001080772,0,0,0,0
NR_023376_8,0,0,0,0
NR_023376_9,0,0,0,0
NR_023376_6,0,0,0,0
NR_023376_7,0,0,0,0
NR_023376_4,0,0,0,0
NR_023376_5,0,0,0,0
NM_001304479,206,930,1020,832
NR_023376_3,0,0,0,0
NM_006439,322,263,287,263
NR_104485,89,53,59,36
NR_104487,319,128,314,344
NR_104486,1781,2248,1697,2250
NR_104481,165,358,190,91
NR_104480,2012,1766,594,645
NM_001172713,10303,9177,13312,13183
NM_153018,24,35,33,35
NM_153015,0,10,8,13
NM_153013,1184,1951,1640,2052
NM_001271096_2,2503,2192,1882,2126
NR_033426,6778,6543,6764,6586
NM_001195610,0,0,0,0
NR_120497,0,0,0,0
NM_001510,0,0,0,0
NM_001170938,0,27,26,0
NM_030905_5,0,0,0,0
NM_014641_8,923,897,843,871
NM_014138,713,912,612,600
NM_014139,10,4,9,11
NR_026558_3,3,0,2,0
NR_026558_2,3,0,0,0
NR_104159,51,27,27,47
NR_033928,457,452,492,480
NM_139239,164,211,229,220
NM_005049_2,3044,3002,2875,2912
NR_104152,0,0,0,0
NM_139235,0,0,0,0
NR_104150,0,0,28,66
NR_104157,0,0,0,0
NR_104156,0,0,0,0
NR_104155,0,0,0,3
NR_104154,0,0,0,0
NM_001511,0,0,0,0
NM_001282171_28,0,0,0,0
NM_001286400_2,2,0,2,1
NM_138700_4,0,0,0,0
NM_138700_3,0,0,0,0
NM_138700_2,0,0,0,0
NM_001282171_29,0,0,0,0
NR_130154,4936,4281,3653,3652
NM_013289_23,0,0,0,0
NR_130156,0,0,0,0
NM_013289_21,0,0,0,0
