gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,chrom,start,end,up_down
C2orf49,7864.19353257292,0.122641613363019,0.0280486185718327,4.3724653693348,1.22851308819262e-05,7.05038052491105e-05,chr2,105345369,105345371,up
SMA5,33297.8594070993,0.151434298997387,0.0135380738512557,11.1858083107843,4.78524989637101e-29,1.40731490820254e-27,chr5_KI270897v1_alt,819587,819690,up
ZNF14,3945.29672097756,0.128888710664579,0.0414895783650921,3.10653218816562,0.0018929569895308,0.0071894543362126,chr19,19711352,19711354,up
KIF21A,16185.2794937038,0.452969223138865,0.0185742027429165,24.3870075829559,2.34916854204497e-131,4.06849889609499e-129,chr12,39294424,39294426,up
ZNF136,3640.37539132128,0.166966189824565,0.0432707335226676,3.8586401530979,0.0001140196746408,0.000562234947367,chr19,12187999,12188001,up
UAP1L1,3087.77956199748,-0.189488357465611,0.0475089355445388,-3.98847827874336,6.64984904294675e-05,0.000341301575729,chr9,137082727,137082729,down
ZNF708,5000.82485276115,0.157099331904073,0.0368561334421504,4.2625017122498,2.02150949323436e-05,0.0001124929256374,chr19,21293274,21293276,up
TCHP,3357.53924179836,0.134427626675813,0.0466393883855099,2.88227679069602,0.0039481274919062,0.0137795484138697,chr12,109916621,109916623,up
TNFAIP8,2316.48567524812,-0.928627701756628,0.0613450705251415,-15.1377721764301,9.12529167722025e-52,4.83795650928e-50,chr5,119393379,119393381,down
OSGEPL1,2407.88813617234,0.190864653641288,0.0570136894807743,3.34769869095473,0.0008148555255261,0.0033752732065842,chr2,189750578,189750580,up
CRAMP1,6643.09129656905,-0.143134558729513,0.0339351491578193,-4.21788506258952,2.46604458972156e-05,0.0001347764271388,chr16,1674043,1674045,down
NISCH,11509.4160763299,-0.100957074649153,0.0236888707622282,-4.26179346675016,2.02792821463613e-05,0.0001128098396914,chr3,52480517,52480519,down
WWP1,18447.6533848844,-0.151037267190316,0.0182345897925377,-8.28300877117217,1.20101572581005e-16,1.94799501750273e-15,chr8,86466891,86466893,down
