gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,chrom,start,end,up_down
C1orf116,26794.694543654,-1.2697167166258,0.0156033463744288,-81.3746414491348,0.0,0.0,chr1,207021958,207021960,down
RNF138P1,3328.23245974138,-1.11854938434444,0.0478939969551645,-23.3546885926343,1.2349832013840101e-120,1.85093107307429e-118,chr5,55528842,55534542,down
TBX15,120.588774566206,-2.54979274163317,0.291209155078901,-8.75588111555874,2.02515094535124e-18,3.67902421738808e-17,chr1,118884732,118884734,down
USP43,3683.63653882861,-1.26694348338383,0.0459762502424433,-27.5564770224398,3.7011960821406404e-167,8.36094830903278e-165,chr17,9728988,9728990,down
SLC2A3,55.5140308998389,-5.37496077776996,1.46945496998691,-3.65779209812591,0.0002543972637528,0.0011686678898069,chr12,7921413,7921415,down
TRPM8,582.464368876685,-1.67772299708549,0.118888218783636,-14.1117683000934,3.21416133369463e-45,1.49549649875517e-43,chr2,234014610,234014612,down
TNS3,127.135003740908,-1.19753336905374,0.257451615590278,-4.65148904312786,3.29546787106149e-06,2.06290994804158e-05,chr7,47278076,47278078,down
PTGER4,453.966595885418,-1.24313949442914,0.13113633278526,-9.47974880817221,2.5489592153644202e-21,5.44255168354592e-20,chr5,40692376,40692378,down
SYS1-DBNDD2,56.4710816925997,9.31491126138486,1.49620698746224,6.22568357148509,4.794608899157471e-10,4.66210660705973e-09,chr20,45409932,45410610,up
NKX3-1,61590.0479084835,-2.27201534432367,0.011259456100455,-201.787308734377,0.0,0.0,chr8,23682904,23682921,down
LOC283683,45.0318607200347,8.98774063398665,1.50048473663121,5.98989140946901,2.09981192551868e-09,1.91402154871694e-08,chr15,22777767,22778737,up
LOC101927482,245.0467752576,-1.42365604195752,0.183232940333149,-7.7696512393954,7.870252140393341e-15,1.13586685289177e-13,chr2,196263051,196264204,down
FAM110B,234.005941887896,-1.6617823141524,0.192337828625198,-8.63991408258362,5.6255310341711696e-18,9.96422184427569e-17,chr8,58147341,58147343,down
SH3D21,283.50130352586,-1.01735059729111,0.166599440207314,-6.10656672090333,1.0179709260673101e-09,9.55274703468467e-09,chr1,36321125,36321127,down
SNX15,818.956121350447,13.1725457950168,1.44524818634327,9.11438320386039,7.9119228960808e-20,1.5512344928454299e-18,chr11,65039790,65039792,up
MIR6076,58.0794430954825,6.2974005561525,2.33470486636839,2.69730047975959,0.0069904161277291,0.0228522684947386,chr14,49966399,49966511,up
LIMS3L,149.667179844129,3.04176511281716,0.533541964460164,5.70107941911337,1.19051151063996e-08,1.00905399218842e-07,chr2,110472597,110473075,up
KL,34.5920961751694,-2.4266716600667,0.569912814550262,-4.25796998788608,2.0629163528869e-05,0.0001144701929243,chr13,33064184,33064186,down
RAB4B-EGLN2,105.740397145833,22.9246496804923,4.78526843748359,4.79067161643863,1.662239799383e-06,1.08543492890586e-05,chr19,40807809,40808441,up
TMPRSS2,43255.5734173389,-2.48895794571282,0.0133018073106095,-187.114268579701,0.0,0.0,chr21,41466142,41466144,down
RHOU,9188.06397124228,-1.38972864461313,0.0272509046602619,-50.9975232726741,0.0,0.0,chr1,228743738,228743740,down
DOCK4-AS1,141.275680118106,-1.04903116472526,0.239937131994002,-4.37210846027571,1.23052364863392e-05,7.05931987900513e-05,chr7,111819378,111821779,down
TRIM6-TRIM34,55.7745481565627,1.5795381163128,0.427279550119402,3.6967323052821,0.0002183924165065,0.0010194916430329,chr11,5643707,5643709,up
ZHX1-C8orf76,84.0607211971423,-1.41192894081938,0.367619747682033,-3.84073203281942,0.0001226679622528,0.0006018336567942,chr8,123226473,123226475,down
LOC101927078,219.089193530109,-1.25286116400563,0.193898256046739,-6.46143595898886,1.03714047043312e-10,1.06494785985778e-09,chr5,114773335,114773413,down
FAM105A,2273.24101609871,-1.12114892532679,0.0597602186556318,-18.7607902137609,1.58032550797914e-78,1.36847409404838e-76,chr5,14610312,14610314,down
EPSTI1,53.434069425717,-1.02757242266791,0.422266206971325,-2.43347065359102,0.0149548476454361,0.0441734939268554,chr13,42888250,42888252,down
NUDT4P1,967.54646559889,-5.01710219291364,2.02901624457262,-2.47267719336097,0.0134105214560169,0.0401748602604144,chr1,148748600,148752397,down
EIF3CL,2592.28730601299,3.15093001019286,1.18567961903336,2.65748854885581,0.0078725264904653,0.025264375212453,chr16,28735511,28735513,up
ALPK2,61.0533786551894,-1.61627249174667,0.387048413340238,-4.17589230711009,2.96820228306703e-05,0.0001604208355969,chr18,58481823,58481825,down
ISY1-RAB43,356.749531493526,11.9736301397431,1.94860008737548,6.14473447749357,8.00973878876673e-10,7.58953182373903e-09,chr3,129095025,129095027,up
SGK223,148.289539990722,-1.80085251019418,0.252375116538776,-7.13561834023954,9.63530203326458e-13,1.17516003749996e-11,chr8,8318154,8318156,down
MSH5-SAPCD1,299.614134084759,1.0979197475725,0.169411338916107,6.48079257620524,9.1242037160043e-11,9.39979929420747e-10,chr6_GL000256v2_alt,3063728,3064139,up
CDRT4,88.6393227709416,1.01047972964543,0.304959357410087,3.31348983099612,0.0009213945756781,0.0037744486862273,chr17,15437773,15437775,up
CTBP1-AS,1751.32200761981,-1.47962163392732,0.066803845793168,-22.1487493176424,1.0725524985338999e-108,1.47945803492459e-106,chr4,1215959,1218591,down
OR52N2,71.3381062973275,-1.1691417567461,0.356147277478569,-3.28274798286631,0.0010280052378951,0.0041619526345642,chr11,5821299,5821301,down
LOC101929572,80.561121334249,-3.33982248513759,0.398902353441937,-8.3725314135649,5.63934840017465e-17,9.35111952271513e-16,chr14,19422898,19424584,down
MIR6724-2,37.2803602258677,-1.48079835241509,0.51249611487919,-2.8893845424841,0.0038599672558264,0.0135233332471492,chr22_KI270733v1_random,121581,121672,down
NNMT,60.394071539804,-3.19610846523166,0.461228481302807,-6.92955572952429,4.22164296360376e-12,4.82778788508377e-11,chr11,114312475,114312477,down
LOC104968399,107.157659107319,-1.73121324693017,0.71304738459898,-2.42790771598414,0.015186206876156,0.0447715919384611,chr18,3261610,3261850,down
C4orf48,143.991458346353,-1.03859489381142,0.245305396109688,-4.23388523156259,2.29688195768413e-05,0.0001260172441901,chr4,2043924,2043926,down
ARL2-SNX15,1225.32250629784,-7.0883649435804,2.57162139022917,-2.75637967957201,0.0058445110956506,0.0195113288601214,chr11,65039686,65040572,down
IRS2,325.034225725657,-1.32697311432838,0.155553759786547,-8.53063992891768,1.4554037316835102e-17,2.51779999619877e-16,chr13,109756304,109756306,down
TRIM39-RPP21,45.988970674852,-8.91609892187804,1.50107237565542,-5.93981946938765,2.8533611847929203e-09,2.56194359374235e-08,chr6_GL000256v2_alt,1645265,1645267,down
LOC101929148,55.1373602622838,1.03644521292292,0.406123134925644,2.55204671635532,0.0107092158335025,0.0331528395624237,chrY,22484037,22484714,up
RNA5-8S5,44.1053981870824,1.3726605339089,0.456634453982921,3.00603802874726,0.0026467589404684,0.0096979387882186,chr22_KI270733v1_random,173956,174111,up
BMS1P18,389.991150309494,-24.6410925258653,4.78488035626146,-5.14978237514762,2.60788874703676e-07,1.90662110225432e-06,chr22,15815575,15815897,down
DUSP27,583.492029002177,-1.44732747798449,0.116366923248757,-12.4376191926167,1.63298977179107e-35,5.89199341965449e-34,chr1,167128606,167128608,down
DBNDD2,34.357932186974,-3.96651324589123,0.70418794639885,-5.63274799884833,1.77360529587335e-08,1.47835217897208e-07,chr20,45410138,45410140,down
MIR6724-4,292.214856333027,-1.14948507055261,0.167651593436678,-6.85639215822171,7.06213467726265e-12,7.93637297869451e-11,chr22_KI270733v1_random,121581,121672,down
SNAI2,189.023041548195,-3.29137327173544,0.562078763660155,-5.85571539885729,4.7496098262447e-09,4.17788760506073e-08,chr8,48918807,48918809,down
AKAP5,6582.09276956566,-1.16554708619723,0.0321665096121054,-36.2348013586962,1.7244969271352098e-287,6.7199334008141096e-285,chr14,64469676,64469678,down
