gene_id,chrom,start,end,promoter_chrom,promoter_start,promoter_end,start_distance,end_distance,overlap
NFKBIA,chr14,35402013,35402015,chr14,35404142,35404143,2129,2128,No
SRSF5,chr14,69771459,69771461,chr14,69768093,69768094,-3366,-3367,No
PPFIBP1,chr12,27692880,27692882,chr12,27696162,27696163,3282,3281,No
PPFIBP1,chr12,27692880,27692882,chr12,27696417,27696418,3537,3536,No
ZNF697,chr1,119622705,119622707,chr1,119626490,119626491,3785,3784,No
CLDN8,chr21,30215248,30215250,chr21,30216187,30216188,939,938,No
AKAP5,chr14,64469676,64469678,chr14,64467992,64467993,-1684,-1685,No
KLF6,chr10,3784913,3785281,chr10,3784073,3784074,-840,-1207,No
KLF6,chr10,3784913,3785281,chr10,3786146,3786147,1233,866,No
U2AF2,chr19,55674066,55674068,chr19,55676604,55676605,2538,2537,No
HIST1H2BN,chr6,27839040,27839042,chr6,27837088,27837089,-1952,-1953,No
RPS12,chr6,132817540,132817542,chr6,132813632,132813633,-3908,-3909,No
ADH1C,chr4,99352658,99353045,chr4,99353166,99353167,508,122,No
TPD52,chr8,80080315,80080831,chr8,80078854,80078855,-1461,-1976,No
TPD52,chr8,80080315,80080831,chr8,80080711,80080712,396,-119,Yes
CCNA2,chr4,121817638,121817640,chr4,121821853,121821854,4215,4214,No
TIGD6,chr5,149994783,149994785,chr5,149996676,149996677,1893,1892,No
ZBTB1,chr14,64523644,64523646,chr14,64521793,64521794,-1851,-1852,No
PPAPDC2,chr9,4663261,4663263,chr9,4663572,4663573,311,310,No
