gene_id,chrom,start,end,enhancer_chrom,enhancer_start,enhancer_end,start_distance,end_distance,overlap
SLC9A3R2,chr16,2037982,2037984,chr16,2039725,2039726,1743,1742,No
C6orf201,chr6,4130485,4130765,chr6,4130699,4130700,214,-65,Yes
NFKBIA,chr14,35402013,35402015,chr14,35398457,35398458,-3556,-3557,No
RAB27A,chr15,55205507,55205509,chr15,55204607,55204608,-900,-901,No
NKX3-1,chr8,23682904,23682921,chr8,23680613,23680614,-2291,-2307,No
ZNF587B,chr19,57844340,57844342,chr19,57840438,57840439,-3902,-3903,No
G6PC3,chr17,44075680,44076344,chr17,44076980,44076981,1300,637,No
ACTR1A,chr10,102480863,102480865,chr10,102477845,102477846,-3018,-3019,No
MFAP1,chr15,43805094,43805096,chr15,43808648,43808649,3554,3553,No
RPL19,chr17,39204646,39204648,chr17,39209521,39209522,4875,4874,No
HNRNPA1L2,chr13,52643453,52643455,chr13,52639551,52639552,-3902,-3903,No
HAUS3,chr4,2231927,2231929,chr4,2235894,2235895,3967,3966,No
ABHD17A,chr19,1877200,1877202,chr19,1873899,1873900,-3301,-3302,No
MAFB,chr20,40687879,40687881,chr20,40686499,40686500,-1380,-1381,No
PRR15L,chr17,47952923,47952925,chr17,47955723,47955724,2800,2799,No
PEX2,chr8,76983261,76983263,chr8,76986808,76986809,3547,3546,No
SSH2,chr17,29630841,29630843,chr17,29628155,29628156,-2686,-2687,No
ARPC5,chr1,183627532,183627534,chr1,183629839,183629840,2307,2306,No
ZNF697,chr1,119622705,119622707,chr1,119618293,119618294,-4412,-4413,No
RPS16,chr19,39433273,39433275,chr19,39430827,39430828,-2446,-2447,No
PPAPDC1B,chr8,38264444,38264446,chr8,38267047,38267048,2603,2602,No
STEAP2,chr7,90232622,90232624,chr7,90231495,90231496,-1127,-1128,No
TMEM79,chr1,156291596,156291598,chr1,156290121,156290122,-1475,-1476,No
PITHD1,chr1,23787374,23787376,chr1,23785039,23785040,-2335,-2336,No
STEAP4,chr7,88279398,88279400,chr7,88281893,88281894,2495,2494,No
CBX4,chr17,79833959,79833961,chr17,79829622,79829623,-4337,-4338,No
STYK1,chr12,10620144,10620146,chr12,10615980,10615981,-4164,-4165,No
RPS27A,chr2,55235575,55235577,chr2,55239893,55239894,4318,4317,No
MTERF4,chr2,241095998,241096000,chr2,241093662,241093663,-2336,-2337,No
DLX1,chr2,172088255,172088257,chr2,172088897,172088898,642,641,No
SGK1,chr6,134170268,134170270,chr6,134166974,134166975,-3294,-3295,No
ACADVL,chr17,7225095,7225097,chr17,7228262,7228263,3167,3166,No
SRSF6,chr20,43461061,43461063,chr20,43460349,43460350,-712,-713,No
TPD52,chr8,80080315,80080831,chr8,80078349,80078350,-1966,-2481,No
GLMP,chr1,156293044,156293046,chr1,156290121,156290122,-2923,-2924,No
PHB,chr17,49404992,49404994,chr17,49404031,49404032,-961,-962,No
TRPV6,chr7_KI270803v1_alt,894748,894750,chr7_KI270803v1_alt,891472,891473,-3276,-3277,No
BBS4,chr15,72737478,72738476,chr15,72734125,72734126,-3353,-4350,No
LOC100506023,chr1,173476632,173477155,chr1,173475220,173475221,-1412,-1934,No
CEBPD,chr8,47737311,47737313,chr8,47735270,47735271,-2041,-2042,No
TWISTNB,chr7,19698316,19698318,chr7,19701087,19701088,2771,2770,No
